Layer,Name,GEOID,RBS_2018-2022,PMC_2023,CHAIXYP_2023,FAI_2020,LFA_2019,CAN_2021,DIS_2018-2022,EDB_2018-2022,EDE_2018-2022,UMP_2018-2022,EDX_2018-2022,INC_2018-2022,POV_2018-2022
,,,"Severely rent-burdened (% of renter-occupied housing units), 2018-2022","Particulate matter (PM 2.5) concentration (µg/m3), 2023","Chicago Environmental Justice Index (score), 2023","Food insecurity (% of residents), 2020","Low food access (% of residents), 2019","Have ever had cancer (% of adults), 2021","Disability (% of residents), 2018-2022","High school graduation rate (% of residents), 2018-2022","College graduation rate (% of residents), 2018-2022","Unemployment rate (%), 2018-2022","Economic Diversity Index, 2018-2022","Median household income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Census tract,Tract 101,17031010100,28.852459016393446,9.28303589041096,30.34,26.7,22.36,4.299999999999999,14.27205355008367,88.65914786967419,52.94486215538847,9.76915356306457,0.7438473672398844,62530.52339226691,19.4836241931628
Census tract,Tract 102.01,17031010201,18.94593366651522,9.34917835616438,43.62,26.2,0.0,3.8,9.292682926829269,81.81631816318163,33.90733907339074,4.088541666666667,0.8140929552867795,55997.44257858426,33.609756097560975
Census tract,Tract 102.02,17031010202,22.40085744908896,9.3254597260274,48.29,19.9,0.0,5.2,16.035548686244205,86.71837130392632,46.24333494910325,8.914209115281501,0.7945842196903041,53821.58282126932,23.75195007800312
Census tract,Tract 103,17031010300,33.64437532400208,9.3072202739726,33.75,18.3,30.79,5.9,9.945580784387314,90.03496503496503,51.728826728826725,4.030655691172296,0.7098468817157142,62658.89269948313,6.455244886470258
Census tract,Tract 104,17031010400,32.9700272479564,9.33897342465754,15.04,20.1,0.1,3.2,13.838587078023698,99.39894815927872,60.368144252441766,3.2,0.4597031861208158,44589.99578517713,18.58638743455497
Census tract,Tract 105.01,17031010501,21.502209131075112,9.33387123287671,23.39,23.4,0.0,4.499999999999999,17.556861742908257,99.6811224489796,65.3061224489796,7.511569953720184,0.7186591600120285,43882.13074824197,10.784564272936366
Census tract,Tract 105.02,17031010502,27.659574468085108,9.36022630136986,20.48,21.0,0.0,3.2,14.147343704138535,96.8895078922934,66.991643454039,4.497955474784189,0.7683397159444048,51176.25816899221,26.90447400241837
Census tract,Tract 105.03,17031010503,31.494661921708182,9.388193150684932,37.93,29.300000000000004,0.0,6.0,23.376086057095574,84.91879350348029,39.056457849961326,3.853046594982079,0.7777551020408163,17192.317930743804,51.92387256930079
Census tract,Tract 106,17031010600,20.6027397260274,9.3677495890411,21.24,20.2,0.0,4.1,2.3775100401606424,94.50010658708165,66.1266254529951,2.547931382441978,0.5943537145337723,60803.956210208744,14.68273092369478
