geoid20,class1,class1_lbl,class2,class2_lbl,class2_red,class3,class3_lbl,area_total,area_rated,area_U,area_A,area_B,area_C,area_D
01073000100,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",7549580.5,73.293671,26.706331,0,4.2614512,26.091967,42.94025
01073000300,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2078504.4,94.276787,5.7232108,0,0,.040525921,94.236259
01073000400,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",7998765,46.557659,53.442341,0,0,10.347183,36.210476
01073000500,D,Mainly D,D,Mainly D,Only D,D,Mainly D,4680667,64.39016,35.60984,0,0,0,64.39016
01073000700,D,Mainly D,D,Mainly D,Only D,D,Mainly D,3520562.8,41.288933,58.711067,0,0,0,41.288933
01073000800,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",11487401,49.377251,50.622749,0,0,7.0300751,42.347176
01073001100,D,Mainly D,D,Mainly D,Only D,D,Mainly D,10140772,27.235584,72.764412,0,0,0,27.235584
01073001200,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",8619487,29.081148,70.918854,0,0,1.2777717,27.803375
01073001400,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2251356.3,99.706314,.29368272,0,0,3.3713284,96.334991
01073001500,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",1900176,99.992378,.0076205805,0,0,5.9294572,94.06292
01073001600,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2646792.3,87.525337,12.474666,0,0,41.835114,45.69022
01073001902,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",3359549,87.758339,12.241663,0,0,19.720362,68.037979
01073002000,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D-B,"Mainly C, some D, some B",3638812,55.139656,44.860344,0,4.9194202,32.413441,17.806799
01073002100,C,Mainly C,C-B,"Mainly C, some B","Mainly C or D, some B",C-B,"Mainly C, some B",2748000.8,73.181664,26.818335,0,.04880945,73.132858,0
01073002200,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",1840624.4,100,0,0,.0036935892,46.653427,53.34288
01073002303,D,Mainly D,D,Mainly D,Only D,D,Mainly D,3227307,36.7164,63.2836,0,0,0,36.7164
01073002305,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D-B,"Mainly C, some D, some B",2134659.3,75.314667,24.685331,0,7.4213753,49.064705,18.828588
01073002306,B,Mainly B,B-C,"Mainly B, some C","Mainly B, some C or D",B-C-D,"Mainly B, some C, some D",4736378,33.350685,66.649315,5.4539165,15.647387,6.7706671,5.4787135
01073002401,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",3488477.5,80.391113,19.608883,0,2.7038023,14.575585,63.111729
01073002402,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",4990912,34.968575,65.031425,0,0,.082306519,34.886265
01073002701,D,Mainly D,D,Mainly D,Only D,D,Mainly D,1422612.4,9.4428349,90.557167,0,0,0,9.4428349
01073002702,D,Mainly D,D,Mainly D,Only D,D,Mainly D,2383967.8,53.149685,46.850315,0,0,0,53.149685
01073002900,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2333960.5,82.222115,17.777885,0,0,5.8935447,76.328568
