Layer,Name,GEOID,Population,UNS_2017-2021,SVI_2020,EVR_2018,HTJ_2017-2021,RBS_2017-2021,CHAIXYP_2023,LFA_2019,WWW_2017-2021,EDB_2017-2021,EDE_2017-2021,COIED_2015,COIHE_2015,COIOV_2015,COISE_2015,UMP_2017-2021,INC_2017-2021,POV_2017-2021,FOR_2017-2021,LEQ_2017-2021,PCT-W_2017-2021,CAN_2021,FAI_2020,LNG_2021
(Indicator name),,,,"Uninsured rate (% of residents), 2017-2021","Social Vulnerability Index (percentile), 2020","Eviction rate (% of renter-occupied households), 2018","Crowded housing (% of occupied housing units), 2017-2021","Severely rent-burdened (% of renter-occupied housing units), 2017-2021","Chicago Environmental Justice Index (score), 2023","Low food access (% of residents), 2019","Internet access (% of households), 2017-2021","High school graduation rate (% of residents), 2017-2021","College graduation rate (% of residents), 2017-2021","Child Opportunity Index 2.0-ED, 2015","Child Opportunity Index 2.0-HE, 2015","Child Opportunity Index 2.0, 2015","Child Opportunity Index 2.0-SE, 2015","Unemployment rate (%), 2017-2021","Median household income, 2017-2021","Poverty rate (% of residents), 2017-2021","Foreign born (% of residents), 2017-2021","Limited English proficiency (% of residents), 2017-2021","Demographics, Non-Hispanic White (% of residents), 2017-2021","Have ever had cancer (% of adults), 2021","Food insecurity (% of residents), 2020","Chronic obstructive pulmonary disease (COPD) (% of adults), 2021"
(Definition),,,,"Percent of residents without health insurance (at the time of the survey).","The Social Vulnerability Index was created to help public health officials and emergency response planners identify and map the communities that will most likely need support before, during, and after a hazardous event, such as a natural disaster, disease outbreak, or chemical spill. SVI indicates relative vulnerability by ranking places on 15 social factors, including unemployment, minority status, and disability, and combining the rankings into a single scale from the 0th percentile (lowest vulnerability) to 100th percentile (highest vulnerability).","Percentage of renter-occupied housing units with an eviction over the past year. An eviction happens when a landlord expels people from property he or she owns. Evictions are landlord-initiated involuntary moves that happen to renters. This is based on available eviction records and estimates for missing data, and does not include voluntary move-outs or evictions that take place outside of the legal system. A high eviction rate could be based on a high number of evictions, a very low number of renter-occupied units, or both.","Percent of occupied housing units with more than one occupant per room (e.g. three occupants in a one-bedroom apartment).","Households spending more than 50% of income on rent are considered severely rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Composite score of cumulative impacts reflecting communities in Chicago most burdened by pollution and most vulnerable to its effects.","Percent of residents who have low access to food, defined solely by distance: further than 1/2 mile from the nearest supermarket in an urban area, or further than 10 miles in a rural area.","Percent of households with any connection to the internet, such as broadband, dial-up, satellite, or a cellular data plan.","Residents 25 or older with at least a high school degree: including GED and any higher education","Residents 25 or older with a four-year college (bachelor's) degree or higher","The education domain of the Child Opportunity Index 2.0 scored as Very Low (5), Low (4), Moderate (3), High (2), and Very High (1)","The health and environment domain of the Child Opportunity Index 2.0 scored as Very Low (5), Low (4), Moderate (3), High (2), and Very High (1)","A composite index that captures neighborhood resources and conditions that matter for children's healthy development scored as Very Low (5), Low (4), Moderate (3), High (2), and Very High (1)","The social and economic domain of the Child Opportunity Index 2.0 scored as Very Low (5), Low (4), Moderate (3), High (2), and Very High (1)","Percent of residents 16 and older in the civilian labor force who are actively seeking employment.","Income in the past 12 months.","Percent of residents in families that are in poverty (below the Federal Poverty Level).","Percent of residents who were not U.S. citizens at the time of birth (includes both naturalized citizens and those who are not currently citizens).","Percentage of residents 5 years and older who do not speak English 'very well'.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have cancer (other than skin cancer). Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw.","Percentage of the population experiencing food insecurity at some point. Food insecurity is the household-level economic and social condition of limited or uncertain access to adequate food, as represented in USDA food-security reports. 2020 data is a projection based on 11.5% national unemployment and 16.5% national poverty rate.","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis. Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw."
(Citation),,,,"American Community Survey (Tables B27001/C27001)","Centers for Disease Control and Prevention (CDC) (Agency for Toxic Substances and Disease Registry / Geospatial Research, Analysis, and Services Program)","The Eviction Lab at Princeton University (All yearly data), Cook County Sheriff's Office of Research (Monthly data in Chicago only)","American Community Survey (Table B25014)","American Community Survey (Table B25070)","Chicago Department of Environmental Permitting and Inspection","USDA, Economic Research Service, Food Access Research Atlas (Food Access Research Atlas)","American Community Survey (ACS) (Table B28002)","American Community Survey (Table B15002)","American Community Survey (Table B15002)","diversitydatakids.org","diversitydatakids.org","diversitydatakids.org","diversitydatakids.org","American Community Survey (Tables B23025, B23001, and C23002)","American Community Survey (Table B19013)","American Community Survey (Table B17001)","American Community Survey (Table B05002)","American Community Survey (Table B16004)","American Community Survey (Table B01001)","Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data), PLACES (Sub-county data (zip codes, tracts))","Map the Meal Gap (Map the Meal Gap 2020)","Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data), PLACES (Sub-county data (zip codes, tracts))"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 101,17031010100,4905,14.6879927911692,85.28,0.8,2.44711737868105,32.6263256394261,30.34,22.36,84.6951472418084,87.8538812785388,51.0806697108067,3.0,4.0,4.0,4.0,6.60777385159011,60316.0,26.7402568145979,20.9748566387296,1.41486810551559,40.4058226731363,4.3,26.7,5.5
Census tract,Tract 102.01,17031010201,6939,10.8285679523056,95.11,0.83,13.5514018691589,26.3423588802203,43.62,0.0,90.3204272363151,85.7838166700466,32.7722571486514,4.0,3.0,4.0,4.0,4.03645833333333,43750.0,35.271930891836,34.6209912536443,12.1891561353445,25.1943634596696,3.8,26.2,6.4
Census tract,Tract 102.02,17031010202,2742,22.3123017271766,97.46,0.68,10.6158833063209,24.4941427050053,48.29,0.0,89.0599675850891,81.2213039485767,36.3636363636364,3.0,4.0,3.0,3.0,10.5392156862745,45096.0,18.2012086740135,32.4263764404609,10.926694329184,28.8732394366197,5.2,19.9,7.4
Census tract,Tract 103,17031010300,6305,23.6269030641742,83.71,0.24,6.67779632721202,27.6225619399051,33.75,30.79,87.7462437395659,87.0974076983504,43.5192458758837,3.0,4.0,3.0,3.0,4.11242603550296,60846.0,11.8134515320871,20.7559572719803,5.27222605099931,46.6064092029581,5.9,18.3,5.8
Census tract,Tract 104,17031010400,5079,7.67386091127098,69.62,0.64,2.60570304818092,41.4584740040513,15.04,0.1,77.9744346116027,97.0916334661355,58.9641434262948,2.0,2.0,3.0,3.0,3.70058873002523,43024.0,23.7462636997675,10.2463483758448,2.25728687267149,72.8580771746239,3.2,20.1,3.9
Census tract,Tract 105.01,17031010501,4206,10.9001233045623,63.3,0.63,1.0660106601066,23.6543209876543,23.39,0.0,86.9208692086921,99.2216687422167,59.8381070983811,3.0,3.0,3.0,3.0,6.36457973019716,47364.0,10.2589395807645,25.9304905102292,3.76928914748292,60.0936652699039,4.5,23.4,4.2
